title,faculty,institute,term,ects,url,exam,re_exam
Advanced Health Economics with STATA,Det Sundhedsvidenskabelige Fakultet,Folkesundhedsvidenskab,s21,10,http://karakterstatistik.stads.ku.dk/Histogram/SFOK18006E/Summer-2021,"[{'grade': '12', 'count': 4}, {'grade': '10', 'count': 4}, {'grade': '7', 'count': 11}, {'grade': '4', 'count': 0}, {'grade': '02', 'count': 0}, {'grade': '00', 'count': 0}, {'grade': '-3', 'count': 1}, {'grade': 'Absent', 'count': 2}]",
Advanced Inorganic Chemistry,Det Natur- og Biovidenskabelige Fakultet,Kemisk Institut,s21/B3,"7,5",http://karakterstatistik.stads.ku.dk/Histogram/NKEB13013E/Summer-2021/B3,"[{'grade': '12', 'count': 7}, {'grade': '10', 'count': 6}, {'grade': '7', 'count': 2}, {'grade': '4', 'count': 1}, {'grade': '02', 'count': 1}, {'grade': '00', 'count': 1}, {'grade': '-3', 'count': 0}, {'grade': 'Absent', 'count': 3}]",
Advanced Health Economics with STATA,Det Sundhedsvidenskabelige Fakultet,Folkesundhedsvidenskab,s20,10,http://karakterstatistik.stads.ku.dk/Histogram/SFOK18006E/Summer-2020,"[{'grade': '12', 'count': 2}, {'grade': '10', 'count': 4}, {'grade': '7', 'count': 2}, {'grade': '4', 'count': 0}, {'grade': '02', 'count': 0}, {'grade': '00', 'count': 0}, {'grade': '-3', 'count': 0}]",
Advanced Inorganic Chemistry,Det Natur- og Biovidenskabelige Fakultet,Kemisk Institut,v24/B1,"7,5",http://karakterstatistik.stads.ku.dk/Histogram/NKEB13013E/Winter-2024/B1,"[{'grade': '12', 'count': 6}, {'grade': '10', 'count': 0}, {'grade': '7', 'count': 1}, {'grade': '4', 'count': 0}, {'grade': '02', 'count': 0}, {'grade': '00', 'count': 0}, {'grade': '-3', 'count': 1}, {'grade': 'Absent', 'count': 2}]",
Advanced Intern. Trade,Det Samfundsvidenskabelige Fakultet,Økonomisk Institut,s20,"7,5",http://karakterstatistik.stads.ku.dk/Histogram/A%C3%98KK08215E/Summer-2020,,
Advanced International Trade 1,Det Natur- og Biovidenskabelige Fakultet,Institut for Fødevare- og Ressourceøkonomi,v23/B1,"7,5",http://karakterstatistik.stads.ku.dk/Histogram/NIFK14023E/Winter-2023/B1,"[{'grade': '12', 'count': 2}, {'grade': '10', 'count': 3}, {'grade': '7', 'count': 2}, {'grade': '4', 'count': 4}, {'grade': '02', 'count': 0}, {'grade': '00', 'count': 0}, {'grade': '-3', 'count': 0}]",
Advanced Intern. Trade,Det Samfundsvidenskabelige Fakultet,Økonomisk Institut,v24,"7,5",http://karakterstatistik.stads.ku.dk/Histogram/A%C3%98KK08215E/Winter-2024,"[{'grade': '12', 'count': 1}, {'grade': '10', 'count': 1}, {'grade': '7', 'count': 8}, {'grade': '4', 'count': 5}, {'grade': '02', 'count': 1}, {'grade': '00', 'count': 3}, {'grade': '-3', 'count': 0}, {'grade': 'Absent', 'count': 3}, {'grade': 'Failed', 'count': 2}]","[{'grade': '12', 'count': 0}, {'grade': '10', 'count': 0}, {'grade': '7', 'count': 2}, {'grade': '4', 'count': 0}, {'grade': '02', 'count': 2}, {'grade': '00', 'count': 0}, {'grade': '-3', 'count': 0}]"
Advanced Intern. Trade,Det Samfundsvidenskabelige Fakultet,Økonomisk Institut,v23,"7,5",http://karakterstatistik.stads.ku.dk/Histogram/A%C3%98KK08215E/Winter-2023,"[{'grade': '12', 'count': 2}, {'grade': '10', 'count': 6}, {'grade': '7', 'count': 5}, {'grade': '4', 'count': 4}, {'grade': '02', 'count': 2}, {'grade': '00', 'count': 2}, {'grade': '-3', 'count': 1}, {'grade': 'Failed', 'count': 1}]",
Advanced Inorganic Chemistry,Det Natur- og Biovidenskabelige Fakultet,Kemisk Institut,s20/B3,"7,5",http://karakterstatistik.stads.ku.dk/Histogram/NKEB13013E/Summer-2020/B3,"[{'grade': '12', 'count': 10}, {'grade': '10', 'count': 4}, {'grade': '7', 'count': 3}, {'grade': '4', 'count': 2}, {'grade': '02', 'count': 2}, {'grade': '00', 'count': 1}, {'grade': '-3', 'count': 0}, {'grade': 'Absent', 'count': 1}]",
Advanced Inorganic Chemistry,Det Natur- og Biovidenskabelige Fakultet,Kemisk Institut,s20/B4,"7,5",http://karakterstatistik.stads.ku.dk/Histogram/NKEB13013E/Summer-2020/B4,"[{'grade': '12', 'count': 3}, {'grade': '10', 'count': 1}, {'grade': '7', 'count': 1}, {'grade': '4', 'count': 0}, {'grade': '02', 'count': 1}, {'grade': '00', 'count': 0}, {'grade': '-3', 'count': 0}]",
